layer_id,node_id,degree,k_shell,k_shell_itr,nip,sombor_index,ego_density,ego_degree,ego_k_shell,ego_degree_mean,kss,vote_power,clustering,SIR
7,69,5.0,1.0,2.0,0.00021,0.000267992022918,0.0001,0.00028,4.00013e-05,0.000195,0.004,5.0,0,nan
7,73,1.0,1.0,1.0,0.00011,5.0990195136e-05,2.6e-05,-3e-05,3.999912132e-06,0.000105,0.002,1.0,0,nan
7,100,1.0,1.0,1.0,0.00011,5.0990195136e-05,2.6e-05,-3e-05,3.999912132e-06,0.000105,0.002,1.0,0,nan
7,147,1.0,1.0,1.0,0.00011,5.0990195136e-05,2.6e-05,-3e-05,3.999912132e-06,0.000105,0.002,1.0,0,nan
7,1061,4.0,1.0,2.0,0.0002,0.000187724411143,8e-05,0.00018,3.20012e-05,0.00018,0.004,4.0,0,nan
7,6049,1.0,1.0,1.0,0.00011,5.0990195136e-05,2.6e-05,-3e-05,3.999912132e-06,0.000105,0.002,1.0,0,nan
7,90,1.0,1.0,1.0,5e-05,2.2360679775e-05,2e-05,5e-06,3.999870711e-06,4.5e-05,0.002,1.0,0,nan
7,1402,2.0,1.0,2.0,6e-05,4.472135955e-05,6e-05,4e-05,1.60004e-05,6e-05,0.004,3.0,0,nan
7,760,1.0,1.0,1.0,5e-05,2.2360679775e-05,2e-05,5e-06,3.999870711e-06,4.5e-05,0.002,1.0,0,nan
7,118,2.0,1.0,2.0,8e-05,5.0644951022e-05,6e-05,3.4142135624e-05,1.60001e-05,9e-05,0.004,2.0,0,nan
7,65,2.0,1.0,3.0,0.00014,7.3005630797e-05,0.00014,3.4142135624e-05,2.40012e-05,0.00012,0.006,7.0,0,nan
7,368,1.0,1.0,1.0,5e-05,2.2360679775e-05,2.5e-05,-5e-06,3.9996e-06,5e-05,0.002,1.0,0,nan
7,137,4.0,1.0,2.0,0.00014,0.000168414528319,8.8e-05,0.00016,3.20005e-05,0.00014,0.004,4.0,0,nan
7,133,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
7,1989,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
7,138,1.0,1.0,1.0,9e-05,4.1231056256e-05,2.25e-05,-1.5e-05,3.999741421e-06,8e-05,0.002,1.0,0,nan
7,139,1.0,1.0,1.0,9e-05,4.1231056256e-05,2.25e-05,-1.5e-05,3.999741421e-06,8e-05,0.002,1.0,0,nan
7,140,1.0,1.0,1.0,9e-05,4.1231056256e-05,2.25e-05,-1.5e-05,3.999741421e-06,8e-05,0.002,1.0,0,nan
7,156,5.0,2.0,2.0,0.000187179487179,0.000283895705537,0.0001,0.000185,8.7030296495e-05,0.0002169,0.008702852691527,3.0,0.3,nan
7,157,2.0,2.0,1.0,8.5128205128e-05,9.8573007621e-05,3.6e-05,-2.0857864376e-05,8.483882353e-06,0.000145,0.002828427124746,1.0,1.0,nan
7,158,2.0,2.0,1.0,8.5128205128e-05,9.8573007621e-05,3.6e-05,-2.0857864376e-05,8.483882353e-06,0.000145,0.002828427124746,1.0,1.0,nan
7,183,2.0,2.0,1.0,0.000136923076923,8.2135919319e-05,3.33e-05,3.284271247e-06,1.6970543131e-05,0.000165,0.005656854249492,1.0,0,nan
7,184,4.0,2.0,2.0,0.000147948717949,0.000203473961474,6.67e-05,0.0001,6.0340699713e-05,0.0001933,0.007542472332657,2.0,0.5,nan
7,891,3.0,2.0,2.0,0.000157692307692,0.000144365031703,6.67e-05,2.5e-05,5.0912750719e-05,0.000185,0.008485281374239,2.0,0.3333333333333333,nan
7,906,2.0,2.0,1.0,0.000105,6.4339784002e-05,4e-05,-8.57864376e-07,1.5084653083e-05,0.000135,0.005656854249492,1.0,0,nan
7,174,2.0,2.0,1.0,6e-05,2.8284271247e-05,0.0,2e-05,1.5084944665e-05,4e-05,0.005656854249492,1.0,0,nan
7,267,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
7,266,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
7,278,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
