layer_id,node_id,degree,k_shell,k_shell_itr,nip,sombor_index,ego_density,ego_degree,ego_k_shell,ego_degree_mean,kss,vote_power,clustering,SIR
5,129,4,1,2,0.00012,0.000164924225025,0.0001,0.00016,3.20008e-05,0.00012,0.004,5.0,0,
5,130,1,1,1,9e-05,4.1231056256e-05,2e-05,-5e-06,4.000012132e-06,7.5e-05,0.002,1,0,
5,131,1,1,1,9e-05,4.1231056256e-05,2e-05,-5e-06,4.000012132e-06,7.5e-05,0.002,1,0,
5,132,1,1,1,9e-05,4.1231056256e-05,2e-05,-5e-06,4.000012132e-06,7.5e-05,0.002,1,0,
5,133,1,1,1,9e-05,4.1231056256e-05,2e-05,-5e-06,4.000012132e-06,7.5e-05,0.002,1,0,
5,168,1,1,1,5e-05,2.2360679775e-05,2e-05,5e-06,3.999870711e-06,4.5e-05,0.002,1,0,
5,169,2,1,2,6e-05,4.472135955e-05,6e-05,4e-05,1.60004e-05,6e-05,0.004,3.0,0,
5,170,1,1,1,5e-05,2.2360679775e-05,2e-05,5e-06,3.999870711e-06,4.5e-05,0.002,1,0,
5,433,1,1,1,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1,0,
5,434,1,1,1,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1,0,
5,129,4.0,1.0,2.0,0.00012,0.000164924225025,0.0001,0.00016,3.20008e-05,0.00012,0.004,5.0,0,nan
5,130,1.0,1.0,1.0,9e-05,4.1231056256e-05,2e-05,-5e-06,4.000012132e-06,7.5e-05,0.002,1.0,0,nan
5,131,1.0,1.0,1.0,9e-05,4.1231056256e-05,2e-05,-5e-06,4.000012132e-06,7.5e-05,0.002,1.0,0,nan
5,132,1.0,1.0,1.0,9e-05,4.1231056256e-05,2e-05,-5e-06,4.000012132e-06,7.5e-05,0.002,1.0,0,nan
5,133,1.0,1.0,1.0,9e-05,4.1231056256e-05,2e-05,-5e-06,4.000012132e-06,7.5e-05,0.002,1.0,0,nan
5,168,1.0,1.0,1.0,5e-05,2.2360679775e-05,2e-05,5e-06,3.999870711e-06,4.5e-05,0.002,1.0,0,nan
5,169,2.0,1.0,2.0,6e-05,4.472135955e-05,6e-05,4e-05,1.60004e-05,6e-05,0.004,3.0,0,nan
5,170,1.0,1.0,1.0,5e-05,2.2360679775e-05,2e-05,5e-06,3.999870711e-06,4.5e-05,0.002,1.0,0,nan
5,433,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
5,434,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
5,129,4.0,1.0,2.0,0.00012,0.000164924225025,0.0001,0.00016,3.20008e-05,0.00012,0.004,5.0,0,nan
5,130,1.0,1.0,1.0,9e-05,4.1231056256e-05,2e-05,-5e-06,4.000012132e-06,7.5e-05,0.002,1.0,0,nan
5,131,1.0,1.0,1.0,9e-05,4.1231056256e-05,2e-05,-5e-06,4.000012132e-06,7.5e-05,0.002,1.0,0,nan
