layer_id,node_id,degree,k_shell,k_shell_itr,nip,sombor_index,ego_density,ego_degree,ego_k_shell,ego_degree_mean,kss,vote_power,clustering,SIR
1,0,4.0,2.0,2.0,0.00018,0.000175395134906,0.00012,0.000135,9.0512747441e-05,0.000185,0.011313708498985,4.0,0,nan
1,1,1.0,1.0,1.0,9e-05,4.1231056256e-05,2.75e-05,-3.5e-05,3.998520101e-06,9e-05,0.002,1.0,0,nan
1,2,2.0,2.0,1.0,0.00014,7.3005630797e-05,2.5e-05,4.0355339059e-05,2.2627628759e-05,0.000135,0.005656854249492,1.0,0,nan
1,44,2.0,2.0,1.0,0.0002,9.8573007621e-05,2.5e-05,6.213203436e-06,2.2627190917e-05,0.000175,0.005656854249492,1.0,0,nan
1,247,2.0,2.0,1.0,0.0002,9.8573007621e-05,2.5e-05,6.213203436e-06,2.2627190917e-05,0.000175,0.005656854249492,1.0,0,nan
1,3,2.0,2.0,1.0,0.0001,5.6568542495e-05,3.75e-05,2.3284271247e-05,2.2627326995e-05,0.000125,0.005656854249492,1.0,0,nan
1,4,2.0,2.0,1.0,0.00016,8.2135919319e-05,2.43e-05,3.5355339059e-05,2.2627811602e-05,0.00015,0.005656854249492,1.0,0,nan
1,246,5.0,2.0,2.0,0.00021,0.000263535334486,0.0001357,0.00024,0.00011314109581,0.00021,0.011313708498985,5.0,0,nan
1,43,1.0,1.0,1.0,0.00011,5.0990195136e-05,2.6e-05,-4e-05,3.998590812e-06,0.000105,0.002,1.0,0,nan
1,248,1.0,1.0,1.0,0.00011,5.0990195136e-05,2.6e-05,-4e-05,3.998590812e-06,0.000105,0.002,1.0,0,nan
1,387,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
1,388,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
1,389,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
1,390,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
1,458,3.0,2.0,1.0,0.00013,7.8481919626e-05,9e-05,5e-05,3.3941474025e-05,8.5e-05,0.005656854249492,3.0,0,nan
1,459,2.0,1.0,2.0,0.0001,5.841619253e-05,6e-05,2e-05,1.6000034315e-05,8e-05,0.004,2.0,0,nan
1,460,1.0,1.0,1.0,5e-05,2.2360679775e-05,3e-05,-1e-05,3.999617157e-06,5.5e-05,0.002,1.0,0,nan
2,1,19.0,4.0,2.0,0.000950115012107,0.003666543381965,0.0005168,0.00386,0.001174834351748,0.0008771,0.030915254237288,17.0,0.03508771929824561,nan
2,326,4.0,4.0,1.0,0.000653448633691,0.000424348962487,3.22e-05,0.0001,0.000109720331674,0.0006086,0.013714285714286,1.0,0.16666666666666666,nan
2,4,4.0,4.0,1.0,0.000358214285714,0.000241816652994,6.44e-05,1e-05,0.000128001068523,0.00044,0.016,1.0,0,nan
2,44,11.0,4.0,2.0,0.00092763230716,0.001296063132139,0.0002128,0.00144,0.000603462528503,0.0007286,0.027428571428571,7.0,0.16666666666666666,nan
2,239,4.0,4.0,1.0,0.000358214285714,0.000241816652994,6.44e-05,1e-05,0.000128001068523,0.00044,0.016,1.0,0,nan
2,5,3.0,1.0,2.0,9e-05,9.4868329805e-05,8e-05,9e-05,2.40006e-05,9e-05,0.004,4.0,0,nan
2,6,1.0,1.0,1.0,7e-05,3.1622776602e-05,2e-05,0.0,3.999941421e-06,6e-05,0.002,1.0,0,nan
2,18,1.0,1.0,1.0,7e-05,3.1622776602e-05,2e-05,0.0,3.999941421e-06,6e-05,0.002,1.0,0,nan
2,19,1.0,1.0,1.0,7e-05,3.1622776602e-05,2e-05,0.0,3.999941421e-06,6e-05,0.002,1.0,0,nan
2,7,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,8,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,9,1.0,1.0,1.0,0.00013,6.0827625303e-05,2.67e-05,-5e-05,3.999310051e-06,0.000125,0.002,1.0,0,nan
2,10,6.0,2.0,1.0,0.00026,0.000376056021641,0.0001789,0.000375,6.7884072261e-05,0.000255,0.005656854249492,7.0,0,nan
2,11,9.0,2.0,3.0,0.00047,0.000837504417532,0.0003297,0.00089,0.0003054829119,0.00046,0.016970562748477,10.75,0,nan
2,12,1.0,1.0,1.0,0.00019,9.0553851381e-05,3.11e-05,-0.000105,3.996952334e-06,0.0002,0.002,1.0,0,nan
2,100,4.0,2.0,2.0,0.0004,0.000251962539492,6.77e-05,9e-05,8.2642076055e-05,0.00037,0.011313708498985,2.0,0,nan
2,253,1.0,1.0,1.0,0.00019,9.0553851381e-05,3.11e-05,-0.000105,3.996952334e-06,0.0002,0.002,1.0,0,nan
2,313,3.0,2.0,2.0,0.00035,0.000189233361508,5.5e-05,5.5980762114e-05,6.7887017374e-05,0.000345,0.011313708498985,2.0,0,nan
2,329,3.0,2.0,2.0,0.00035,0.000189233361508,5.25e-05,-2.679491924e-06,6.198169485e-05,0.000335,0.011313708498985,1.5,0,nan
2,344,3.0,2.0,1.0,0.00035,0.000189233361508,9.92e-05,7.320508076e-06,3.3938979394e-05,0.00034,0.005656854249492,3.0,0,nan
2,345,2.0,2.0,1.0,0.0003,0.000146047092644,3.64e-05,-0.00011,2.0657320889e-05,0.0003,0.005656854249492,1.0,0,nan
2,352,1.0,1.0,1.0,0.00019,9.0553851381e-05,3.11e-05,-0.000105,3.996952334e-06,0.0002,0.002,1.0,0,nan
2,401,1.0,1.0,1.0,0.00019,9.0553851381e-05,3.11e-05,-0.000105,3.996952334e-06,0.0002,0.002,1.0,0,nan
2,13,6.0,2.0,1.0,0.00026,0.000328163314954,0.000125,0.00026,6.7883713736e-05,0.00016,0.005656854249492,5.0,0,nan
2,14,1.0,1.0,1.0,0.00013,6.0827625303e-05,2.5e-05,-2.5e-05,3.999846447e-06,9.5e-05,0.002,1.0,0,nan
2,15,1.0,1.0,1.0,0.00013,6.0827625303e-05,2.5e-05,-2.5e-05,3.999846447e-06,9.5e-05,0.002,1.0,0,nan
2,16,1.0,1.0,1.0,0.00013,6.0827625303e-05,2.5e-05,-2.5e-05,3.999846447e-06,9.5e-05,0.002,1.0,0,nan
2,17,1.0,1.0,1.0,0.00013,6.0827625303e-05,2.5e-05,-2.5e-05,3.999846447e-06,9.5e-05,0.002,1.0,0,nan
2,25,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,26,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,27,1.0,1.0,1.0,0.000377118644068,0.000190262975904,3.37e-05,-0.000245,1.994124878e-06,0.00043,0.002,1.0,0,nan
2,28,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,29,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,30,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,31,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,32,1.0,1.0,1.0,5e-05,2.2360679775e-05,4e-05,-2e-05,3.999334315e-06,6.5e-05,0.002,1.0,0,nan
2,33,2.0,1.0,2.0,0.00014,7.6212327846e-05,6e-05,1.4142135624e-05,1.5999302944e-05,0.00012,0.004,2.0,0,nan
2,36,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,37,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,40,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,41,1.0,1.0,1.0,3e-05,1.4142135624e-05,2e-05,2e-05,4.000141421e-06,3e-05,0.002,1.0,0,nan
2,42,6.0,4.0,1.0,0.000768459443099,0.000590425530938,9.12e-05,0.00044,0.000180010075632,0.0006625,0.015,3.0,0.06666666666666667,nan
2,43,1.0,1.0,1.0,0.0001225,6.0827625303e-05,7.67e-05,-0.000205,3.994653519e-06,0.000275,0.002,1.0,0,nan
2,45,1.0,1.0,1.0,0.0001225,6.0827625303e-05,7.67e-05,-0.000205,3.994653519e-06,0.000275,0.002,1.0,0,nan
2,46,5.0,2.0,2.0,0.00025,0.00027245107624,0.0001556,0.0002,0.00010606943652,0.0003,0.011313708498985,4.0,0,nan
2,47,1.0,1.0,1.0,0.00011,5.0990195136e-05,3e-05,-5e-05,3.998025126e-06,0.000115,0.002,1.0,0,nan
2,79,2.0,2.0,1.0,0.00018,8.9907160826e-05,2.71e-05,-1.5e-05,2.2627071997e-05,0.000165,0.005656854249492,1.0,0,nan
2,80,3.0,2.0,2.0,0.0003025,0.000167817965145,9.23e-05,4.0980762114e-05,6.7886309723e-05,0.000315,0.011313708498985,3.0,0,nan
2,49,7.0,2.0,1.0,0.000379106719368,0.000536243544732,0.000336,0.000601457513111,7.5596798244e-05,0.0003986,0.005399724510879,12.0,0.047619047619047616,nan
2,189,3.0,2.0,2.0,0.000198877470356,0.000188370974872,0.000225,1.8660254038e-05,4.0730454588e-05,0.000281,0.006788225099391,7.5,0.6666666666666666,nan
2,66,2.0,2.0,1.0,0.000101913043478,0.000108856611647,4e-05,-6.2928932188e-05,1.1311668121e-05,0.0002,0.002828427124746,1.0,1.0,nan
2,106,7.0,2.0,2.0,0.000407494071146,0.000548199487118,0.0003,0.000591457513111,0.000144623926597,0.0004378,0.010329907759943,10.0,0.09523809523809523,nan
