id,layer_density,layer_degree_histogram,layer_edge_weight,layer_sombor_index,layer_nodes_weight,layer_k_shell_weight,k_shell_info
1,0.046511627906976744,1.9534884,0.00042,7.7910664,0.0043,0.7235511,"[[0], [42, 1]]"
2,0.017079889807162536,2.0495868,0.00124,16.440381,0.0121,0.669365,"[[0], [112], [8, 1]]"
3,0.02313586796345417,2.6837607,0.00157,2.881966,0.0117,1.6696646,"[[0], [64], [36, 7, 4, 1, 1, 2, 2]]"
4,0.0507399577167019,2.1818182,0.00048,1.9328735,0.0044,1.1621607,"[[0], [25, 2, 1], [12, 4]]"
5,0.02712859659424545,3.5267176,0.00231,14.8336934,0.0131,1.4403491,"[[0], [27], [102, 2]]"
6,0.06801346801346801,3.6727273,0.00101,7.6089428,0.0055,1.5964072,"[[0], [5], [48, 2]]"
7,0.01719298245614035,1.2894737,0.00049,0.4419564,0.0076,0.8652754,"[[0], [59, 17]]"
8,0.03209310527243872,3.4018692,0.00182,12.1233257,0.0107,1.3872734,"[[0], [28], [77, 2]]"
9,0.3333333333333333,1.0,2e-05,1.4142136,0.0004,0.7071068,"[[0], [4]]"
10,0.0226890756302521,2.7,0.00162,1.1476778,0.012,3.0592684,"[[0], [45, 8, 1, 1, 1], [25, 14, 8, 4, 3, 1, 1, 1, 2, 3, 2]]"
11,0.028379387602688575,2.9230769,0.00152,1.0627251,0.0104,1.8233398,"[[0], [31, 6, 1], [28, 14, 9, 3, 1], [4, 1], [4, 2]]"
12,0.02882205513784461,1.6140351,0.00046,0.5653836,0.0057,1.1037576,"[[0], [34, 6, 4, 3, 2, 2], [6]]"
13,0.02287581699346405,3.0882353,0.0021,1.2885562,0.0136,5.0391968,"[[0], [41, 3, 1], [28, 15, 11, 7, 4, 3, 3, 2, 4, 4, 2, 2, 1, 2, 3]]"
14,0.07142857142857142,1.4285714,0.00015,0.7193966,0.0021,0.9764808,"[[0], [15, 4, 2]]"
15,0.036004645760743324,1.4761905,0.00031,0.8230043,0.0042,0.8923014,"[[0], [32, 9, 1]]"
16,0.026255707762557076,1.890411,0.00069,1.2976686,0.0073,1.1101539,"[[0], [49, 6, 1], [10, 4, 3]]"
17,0.0370843989769821,2.5217391,0.00087,1.0145944,0.0069,1.7264651,"[[0], [32, 5, 2, 2, 2, 1], [10, 3], [1, 1, 2, 3], [5]]"
18,0.09090909090909091,1.0,6e-05,0.5470925,0.0012,0.7071068,"[[0], [12]]"
19,0.022450532724505326,1.6164384,0.00059,0.6495912,0.0073,1.6660598,"[[0], [48, 7, 4, 2, 2, 2, 2, 2, 2, 2]]"
20,1.0,1.0,1e-05,1.4142136,0.0002,0.7071068,"[[0], [2]]"
21,0.02161172161172161,2.247619,0.00118,0.7579862,0.0105,1.6952302,"[[0], [38, 11, 3, 1, 1, 1, 1, 1], [29, 14, 3, 2]]"
22,0.02511415525114155,1.8082192,0.00066,1.015098,0.0073,1.2274305,"[[0], [46, 9, 1, 1, 1], [8, 3, 2, 2]]"
23,0.028846153846153848,1.8461538,0.0006,0.9509586,0.0065,1.1924933,"[[0], [34, 13, 4, 3, 1], [6, 2, 2]]"
24,0.04666666666666667,1.12,0.00014,0.5006643,0.0025,0.7636753,"[[0], [23, 2]]"
25,0.018585858585858588,1.84,0.00092,0.5949006,0.01,1.5486001,"[[0], [52, 10, 4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1], [12, 5]]"
26,0.14285714285714285,1.0,4e-05,0.7071068,0.0008,0.7071068,"[[0], [8]]"
27,0.02280701754385965,2.1666667,0.00104,0.7223997,0.0096,1.4465875,"[[0], [44, 9, 2], [25, 12, 4]]"
28,0.028946178199909543,1.9104478,0.00064,0.6996299,0.0067,1.1694417,"[[0], [34, 9, 3, 1], [15, 5]]"
29,0.08333333333333333,1.25,0.0001,0.6711513,0.0016,0.8396893,"[[0], [13, 3]]"
30,0.023369036027263874,1.8227848,0.00072,0.6353684,0.0079,1.1054053,"[[0], [44, 13, 4, 2, 2, 1], [10, 3]]"
31,0.07142857142857142,1.4285714,0.00015,0.7996313,0.0021,0.942809,"[[0], [15, 5, 1]]"
32,0.026713124274099883,1.0952381,0.00023,0.3758268,0.0042,0.7744503,"[[0], [38, 4]]"
33,0.04024390243902439,1.6097561,0.00033,0.6537737,0.0041,0.8376547,"[[0], [27, 9, 2], [3]]"
34,0.10606060606060606,1.1666667,7e-05,0.671039,0.0012,0.8249579,"[[0], [10, 2]]"
35,0.02079343365253078,1.7674419,0.00076,0.6437572,0.0086,1.0645301,"[[0], [49, 14, 4, 2, 1], [12, 4]]"
36,0.052307692307692305,1.3076923,0.00017,0.5187142,0.0026,1.0878566,"[[0], [18, 4, 2, 2]]"
