layer_id,node_id,degree,k_shell,k_shell_itr,nip,sombor_index,ego_density,ego_degree,ego_k_shell,ego_degree_mean,kss,vote_power,clustering,SIR,weight,layer_density,layer_degree_histogram,layer_edge_weight,layer_sombor_index,layer_nodes_weight,layer_k_shell_weight
12,7,1,1.0,1.0,9.0,4.123105625617661,10.0,-17.5,-12.672004663607517,23.5,2.0,1.0,0.0,1.017,1.0,0.04637157482685938,3.7560976,0.00154,1.8583009,0.0082,2.1038168
5,97,1,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.018,1.0,0.03961038961038961,2.1785714,0.00061,2.4199676,0.0056,1.2050357
6,97,1,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.012,1.0,0.07905138339920949,1.7391304,0.0002,0.9076983,0.0023,1.078655
9,97,1,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.014,1.0,0.03276955602536998,1.4090909,0.00031,0.6770504,0.0044,0.7674203
10,97,3,3.0,1.0,323.0,160.253296428967,5.333333333333333,-99.43078061834689,138.99761293290973,244.5,10.392304845413264,1.0,0.0,1.07,1.0,0.08743169398907104,5.2459016,0.0016,7.3057552,0.0061,2.4762467
12,97,2,2.0,1.0,17.307692307692307,10.108537014026709,8.222222222222221,-24.67157287525381,-20.91419538522958,44.5,5.656854249492381,1.0,0.0,1.031,1.0,0.04637157482685938,3.7560976,0.00154,1.8583009,0.0082,2.1038168
15,97,2,2.0,1.0,28.0,14.00876701224514,3.0,-5.878679656440356,20.3834433372032,29.0,5.656854249492381,1.0,0.0,1.04,1.0,0.03753501400560224,3.1529412,0.00134,1.6316302,0.0085,2.4581205
18,97,1,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.02,1.0,0.04336734693877551,2.0816327,0.00051,0.9455316,0.0049,1.5357293
21,97,1,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.019,1.0,0.034482758620689655,2.0,0.00059,0.9730525,0.0059,1.2432976
23,97,3,2.0,1.0,39.82666666666667,24.03050543726444,11.500000000000002,-25.901923788646688,-80.00281000502922,72.0,5.656854249492381,2.0,0.0,1.045,1.0,0.0496031746031746,3.125,0.001,1.4583378,0.0064,2.4719514
24,97,1,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.02,1.0,0.07954545454545454,2.5454545,0.00042,1.2031307,0.0033,1.5159037
