id,layer_density,layer_degree_histogram,layer_edge_weight,layer_sombor_index,layer_nodes_weight,layer_k_shell_weight,k_shell_info
1,0.16666666666666666,1.3333333,6e-05,0.9911931,0.0009,0.8642416,"[[0], [7, 2]]"
2,0.12121212121212122,1.3333333,8e-05,0.8805997,0.0012,0.8249579,"[[0], [10, 2]]"
3,0.06719367588932806,1.4782609,0.00017,0.6879297,0.0023,0.8613491,"[[0], [15, 4], [4]]"
4,0.05512820512820513,2.15,0.00043,0.9018213,0.004,1.3406398,"[[0], [19, 3], [13, 4, 1]]"
5,0.3,1.2,3e-05,1.2379577,0.0005,0.8485281,"[[0], [4, 1]]"
6,0.028132992327365727,1.9130435,0.00066,1.2237869,0.0069,1.1006397,"[[0], [46, 3, 2], [12, 4, 2]]"
7,0.3,1.2,3e-05,1.2379577,0.0005,0.8485281,"[[0], [4, 1]]"
8,0.16666666666666666,1.3333333,6e-05,1.2457208,0.0009,0.7856742,"[[0], [8, 1]]"
9,0.07142857142857142,1.4285714,0.00015,1.3147211,0.0021,0.808122,"[[0], [18, 3]]"
10,0.024050632911392405,1.9,0.00076,0.7131998,0.008,1.1719992,"[[0], [41, 13, 4, 2, 2, 1], [13, 4]]"
11,0.0915032679738562,1.5555556,0.00014,0.715095,0.0018,0.9136658,"[[0], [10, 5], [3]]"
12,0.037786774628879895,1.4358974,0.00028,0.5859083,0.0039,1.0878566,"[[0], [28, 5, 3, 2, 1]]"
13,0.02099009900990099,2.0990099,0.00106,0.8105969,0.0101,1.2448158,"[[0], [51, 11, 3], [26, 8, 2]]"
14,1.0,1.0,1e-05,1.4142136,0.0002,0.7071068,"[[0], [2]]"
15,0.057971014492753624,1.3333333,0.00016,0.5988344,0.0024,0.7814744,"[[0], [18, 3], [3]]"
16,0.03716608594657375,1.5238095,0.00032,0.7940907,0.0042,0.942809,"[[0], [30, 10, 2]]"
17,0.044534412955465584,1.6923077,0.00033,0.6763885,0.0039,0.922483,"[[0], [23, 8, 4], [4]]"
18,0.08823529411764706,1.4117647,0.00012,1.3389131,0.0017,0.7902958,"[[0], [15, 2]]"
19,0.03939393939393939,1.7333333,0.00039,0.7189377,0.0045,1.0582867,"[[0], [26, 8, 3, 3, 1, 1], [3]]"
20,1.0,1.0,1e-05,1.4142136,0.0002,0.7071068,"[[0], [2]]"
21,0.027281746031746032,1.71875,0.00055,0.6373476,0.0064,0.9917897,"[[0], [40, 9, 3, 1, 1], [8, 2]]"
22,0.044534412955465584,1.6923077,0.00033,0.6599682,0.0039,1.0654416,"[[0], [21, 9, 4, 1], [2, 2]]"
23,0.0659536541889483,2.1764706,0.00037,0.8794666,0.0034,1.5942042,"[[0], [15, 2, 1, 1], [8, 5, 2]]"
24,0.04923076923076923,1.2307692,0.00016,0.5346398,0.0026,0.8430889,"[[0], [21, 5]]"
25,0.0288135593220339,1.7,0.00051,0.6633739,0.006,0.9633349,"[[0], [38, 9, 3, 1], [7, 2]]"
26,1.0,1.0,1e-05,1.4142136,0.0002,0.7071068,"[[0], [2]]"
27,0.055384615384615386,1.3846154,0.00018,0.647214,0.0026,0.9518745,"[[0], [19, 5, 2]]"
28,0.045454545454545456,1.4545455,0.00024,0.5939302,0.0033,0.9267445,"[[0], [23, 5, 1], [2, 2]]"
29,0.19047619047619047,1.1428571,4e-05,0.9125704,0.0007,0.808122,"[[0], [6, 1]]"
30,0.05426356589147287,2.2790698,0.00049,0.9311412,0.0043,1.9107428,"[[0], [20, 3, 2], [5, 6, 6, 1]]"
31,0.03881278538812785,2.7945205,0.00102,1.1638726,0.0073,1.8881025,"[[0], [29, 6, 1], [13, 5, 4, 3], [6, 5, 1]]"
32,0.06507936507936508,2.2777778,0.00041,0.8277308,0.0036,1.5646178,"[[0], [15, 4], [7, 5], [2, 3]]"
33,0.052100840336134456,1.7714286,0.00031,0.7788525,0.0035,1.1070724,"[[0], [21, 6, 1], [3, 4]]"
34,0.04021887824897401,3.4186047,0.00147,1.2975949,0.0086,2.9283233,"[[0], [26, 3], [20, 3, 2, 2], [11, 8, 5, 3, 3]]"
35,0.1388888888888889,1.1111111,5e-05,0.75065,0.0009,0.7856742,"[[0], [8, 1]]"
36,0.03433001107419712,1.4418605,0.00031,0.5965258,0.0043,0.9208832,"[[0], [32, 9, 2]]"
37,0.08225108225108226,1.7272727,0.00019,0.7623856,0.0022,0.9964688,"[[0], [11, 5], [6]]"
38,0.08974358974358974,1.0769231,7e-05,0.587396,0.0013,0.7614996,"[[0], [12, 1]]"
39,0.02341772151898734,1.85,0.00074,0.8666326,0.008,1.2583893,"[[0], [48, 11, 2, 1, 1, 1, 1], [7, 4, 4]]"
40,0.07352941176470588,1.1764706,0.0001,0.5672539,0.0017,0.8318903,"[[0], [14, 3]]"
41,0.19444444444444445,1.5555556,7e-05,1.2107475,0.0009,0.942809,"[[0], [6, 3]]"
42,1.0,1.0,1e-05,1.4142136,0.0002,0.7071068,"[[0], [2]]"
43,0.07602339181286549,1.3684211,0.00013,0.8565349,0.0019,0.8559714,"[[0], [15, 4]]"
