layer,node,SIR
13,7,1.014
6,6,1.014
13,6,1.011
40,97,1.019
40,65,1.014
36,98,1.02
40,98,1.011
4,120,1.028
15,120,1.014
17,120,1.013
21,120,1.026
22,120,1.026
23,120,1.033
24,120,1.033
30,120,1.054
31,120,1.016
32,120,1.037
34,120,1.052
36,120,1.037
39,120,1.015
40,120,1.007
13,198,1.01
34,198,1.017
39,198,1.012
43,64,1.01
8,2,1.018
9,2,1.015
13,2,1.017
21,136,1.015
25,136,1.022
31,136,1.061
32,136,1.066
34,136,1.071
13,172,1.026
17,172,1.061
21,172,1.021
22,172,1.009
25,172,1.013
27,172,1.011
28,172,1.032
31,172,1.013
34,172,1.035
39,172,1.016
9,44,1.021
6,202,1.02
30,202,1.016
31,202,1.016
34,202,1.015
10,22,1.031
13,22,1.047
16,22,1.016
18,22,1.024
23,22,1.012
4,187,1.017
10,187,1.014
11,187,1.031
13,187,1.022
21,187,1.021
30,187,1.017
32,187,1.042
34,187,1.061
37,187,1.025
39,187,1.018
21,143,1.019
15,71,1.016
4,119,1.073
6,119,1.07
9,119,1.04
10,119,1.031
12,119,1.02
13,119,1.041
16,119,1.013
17,119,1.054
18,119,1.011
19,119,1.015
25,119,1.023
28,119,1.016
30,119,1.015
31,119,1.068
33,119,1.046
34,119,1.06
36,119,1.04
37,119,1.023
38,119,1.015
39,119,1.057
39,88,1.018
6,56,1.01
10,135,1.017
13,135,1.037
25,135,1.01
30,135,1.011
31,135,1.015
34,135,1.049
36,135,1.016
39,135,1.015
8,43,1.009
9,43,1.019
16,156,1.017
17,156,1.021
27,156,1.02
28,156,1.021
31,156,1.07
32,156,1.049
34,156,1.036
10,16,1.022
12,16,1.011
13,16,1.045
39,79,1.035
6,28,1.018
4,170,1.022
6,170,1.037
10,170,1.017
11,170,1.04
13,170,1.036
15,170,1.043
16,170,1.014
21,170,1.026
23,170,1.069
25,170,1.01
27,170,1.015
28,170,1.056
30,170,1.016
31,170,1.029
32,170,1.06
33,170,1.041
34,170,1.041
36,170,1.013
37,170,1.018
38,170,1.017
39,170,1.015
6,34,1.008
13,34,1.016
10,12,1.026
12,12,1.028
13,12,1.023
13,197,1.011
34,197,1.039
10,9,1.053
12,9,1.011
13,9,1.055
19,9,1.01
41,109,1.012
43,109,1.017
25,93,1.016
39,93,1.011
13,25,1.016
4,123,1.021
10,123,1.053
11,123,1.036
12,123,1.015
13,123,1.014
14,123,1.012
16,123,1.044
19,123,1.012
21,123,1.015
22,123,1.032
23,123,1.029
25,123,1.035
28,123,1.015
31,123,1.048
32,123,1.027
34,123,1.058
35,123,1.028
37,123,1.033
39,123,1.017
40,123,1.015
4,58,1.019
6,182,1.018
10,182,1.034
12,182,1.032
13,182,1.05
15,182,1.009
16,182,1.025
18,182,1.036
22,182,1.029
24,182,1.011
28,182,1.026
31,182,1.005
33,182,1.018
34,182,1.014
35,182,1.008
39,182,1.032
41,107,1.017
42,107,1.019
10,14,1.032
12,14,1.018
13,14,1.013
31,52,1.028
34,52,1.031
1,118,1.039
2,118,1.05
4,118,1.007
6,118,1.059
8,118,1.063
9,118,1.112
10,118,1.113
11,118,1.042
13,118,1.168
15,118,1.013
16,118,1.015
17,118,1.032
18,118,1.023
19,118,1.017
21,118,1.047
22,118,1.017
23,118,1.022
24,118,1.014
25,118,1.021
30,118,1.038
31,118,1.065
32,118,1.016
33,118,1.063
