layer_id,node_id,degree,k_shell,k_shell_itr,nip,sombor_index,ego_density,ego_degree,ego_k_shell,ego_degree_mean,kss,vote_power,clustering,SIR,weight,layer_density,layer_degree_histogram,layer_edge_weight,layer_sombor_index,layer_nodes_weight,layer_k_shell_weight
7,7,1.0,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.015,1.0,0.0171929824561403,1.2894737,49.0,2.481457,76.0,0.8652754
15,6,1.0,1.0,1.0,5.0,2.23606797749979,2.5,-0.5,1.0,5.0,2.0,1.0,0.0,1.021,1.0,0.0360046457607433,1.4761905,31.0,4.0773249,42.0,0.8923014
3,209,10.0,2.0,2.0,38.0,101.18551391112791,70.61538461538461,72.0,277.94122132422194,73.0,11.31370849898476,9.0,0.0,1.137,1.0,0.0231358679634541,2.6837607,157.0,21.0228488,117.0,1.6696646
2,97,1.0,1.0,1.0,238.8644839857651,119.00420160649792,2.0756302521008405,-66.5,68.45366412061617,184.5,2.0,1.0,0.0,1.04,1.0,0.0170798898071625,2.0495868,124.0,114.3296366,121.0,0.669365
3,97,1.0,1.0,1.0,30.71698113207547,15.033296378372908,4.733333333333333,-29.0,-17.058593086512786,44.5,2.0,1.0,0.0,1.02,1.0,0.0231358679634541,2.6837607,157.0,21.0228488,117.0,1.6696646
5,97,1.0,1.0,1.0,211.0,105.00476179678712,2.971428571428571,-153.0,-190.39906166072268,210.0,2.0,1.0,0.0,1.042,1.0,0.0271285965942454,3.5267176,231.0,116.4704379,131.0,1.4403491
6,97,2.0,2.0,1.0,204.0,101.07937102256172,3.740740740740741,-59.26598128423205,76.34857852784364,154.5,5.656854249492381,1.0,0.0,1.043,1.0,0.068013468013468,3.6727273,101.0,50.6619502,55.0,1.5964072
8,97,2.0,2.0,1.0,366.0,182.0439507371777,3.433962264150943,-108.25988462982195,152.88940873208472,276.0,5.656854249492381,1.0,0.0,1.043,1.0,0.0320931052724387,3.4018692,182.0,91.0194398,107.0,1.3872734
10,97,6.0,2.0,4.0,61.69869184787317,52.20417797393052,35.48557692307693,34.848469228349536,265.4387466923302,85.08823529411765,19.96536793938488,7.625,0.1333333333333333,1.097,1.0,0.0226890756302521,2.7,162.0,8.4237826,120.0,3.0592684
11,97,4.0,4.0,1.0,39.96071754332623,43.31054150213305,5.125,-16.5,-16.26428826509659,83.86363636363636,8.727272727272727,1.0,0.8333333333333334,1.077,1.0,0.0283793876026885,2.9230769,152.0,7.7025543,104.0,1.8233398
