layer,node,SIR
7,7,1.015
15,6,1.021
3,209,1.137
2,97,1.04
3,97,1.02
5,97,1.042
6,97,1.043
8,97,1.043
10,97,1.097
11,97,1.077
12,97,1.059
13,97,1.05
16,97,1.014
21,97,1.056
26,97,1.012
27,97,1.04
28,97,1.039
30,97,1.012
31,97,1.012
32,97,1.028
33,97,1.014
34,97,1.018
36,97,1.01
1,65,1.016
2,65,1.033
3,65,1.016
5,65,1.104
8,65,1.053
10,65,1.036
11,65,1.049
13,65,1.019
15,65,1.128
16,65,1.016
17,65,1.017
19,65,1.015
21,65,1.032
23,65,1.011
25,65,1.017
28,65,1.018
33,65,1.014
36,65,1.027
1,98,1.022
2,98,1.044
3,98,1.012
5,98,1.075
6,98,1.038
7,98,1.02
8,98,1.054
10,98,1.063
11,98,1.052
12,98,1.02
13,98,1.05
19,98,1.031
21,98,1.021
25,98,1.019
28,98,1.013
30,98,1.033
32,98,1.02
34,98,1.018
35,98,1.013
10,120,1.017
11,120,1.019
13,120,1.014
3,198,1.523
4,198,1.257
5,198,2.726
6,198,1.645
7,198,1.035
8,198,2.231
2,64,1.024
3,64,1.023
5,64,1.055
8,64,1.045
10,64,1.028
13,64,1.072
15,64,1.013
16,64,1.019
19,64,1.015
22,64,1.015
25,64,1.046
30,64,1.012
33,64,1.067
13,2,1.011
1,136,1.031
2,136,1.049
5,136,1.065
6,136,1.045
7,136,1.012
8,136,1.1
10,136,1.027
11,136,1.045
12,136,1.02
13,136,1.065
16,136,1.019
17,136,1.026
19,136,1.028
21,136,1.027
22,136,1.014
23,136,1.035
25,136,1.02
27,136,1.023
28,136,1.091
32,136,1.024
33,136,1.053
34,136,1.023
35,136,1.05
3,172,1.023
5,172,1.082
7,172,1.015
8,172,1.055
10,172,1.049
12,172,1.014
13,172,1.039
17,172,1.015
19,172,1.013
21,172,1.011
19,44,1.014
3,202,1.011
15,22,1.016
1,187,1.032
2,187,1.035
3,187,1.02
4,187,1.013
5,187,1.072
10,187,1.013
11,187,1.018
13,187,1.064
16,187,1.018
19,187,1.016
21,187,1.012
25,187,1.047
27,187,1.023
28,187,1.04
2,143,1.038
3,143,1.036
5,143,1.062
7,143,1.024
8,143,1.065
10,143,1.094
12,143,1.029
13,143,1.08
16,143,1.036
17,143,1.033
22,143,1.016
25,143,1.055
27,143,1.057
30,143,1.063
33,143,1.008
35,143,1.013
2,71,1.035
5,71,1.08
8,71,1.068
10,71,1.016
11,71,1.046
13,71,1.019
15,71,1.016
16,71,1.014
21,71,1.029
22,71,1.014
25,71,1.014
27,71,1.029
30,71,1.016
33,71,1.031
2,119,1.032
5,119,1.093
10,119,1.027
12,119,1.016
13,119,1.016
15,119,1.044
21,119,1.016
27,119,1.017
30,119,1.02
33,119,1.012
35,119,1.02
2,88,1.047
3,88,1.015
4,88,1.013
10,88,1.026
13,88,1.012
19,88,1.022
1,56,1.018
2,56,1.06
3,56,1.015
5,56,1.033
6,56,1.046
