layer,node,SIR
1,50,1.093
2,50,1.096
4,50,1.069
5,50,1.083
2,35,1.091
4,35,1.091
5,35,1.12
2,17,1.11
5,17,1.175
2,34,1.168
3,34,1.024
4,34,1.074
5,34,1.077
1,3,1.158
2,3,1.249
4,3,1.02
5,3,1.325
1,9,1.104
2,9,1.12
3,9,1.034
4,9,1.051
5,9,1.056
1,21,1.175
2,21,1.073
3,21,1.032
4,21,1.011
5,21,1.057
2,43,1.103
3,43,1.035
4,43,1.043
5,43,1.093
2,12,1.093
3,12,1.013
4,12,1.011
5,12,1.071
1,2,1.113
2,2,1.101
4,2,1.031
5,2,1.043
2,8,1.099
4,8,1.053
5,8,1.108
2,44,1.026
1,4,1.081
2,4,1.07
4,4,1.012
5,4,1.031
2,41,1.074
5,41,1.045
2,10,1.066
4,10,1.042
5,10,1.147
2,7,1.127
4,7,1.086
5,7,1.161
1,53,1.19
2,53,1.055
4,53,1.066
5,53,1.099
2,27,1.142
4,27,1.041
5,27,1.096
2,58,1.015
5,58,1.189
1,1,1.088
2,1,1.109
3,1,1.017
4,1,1.075
5,1,1.192
1,55,1.183
2,55,1.11
3,55,1.072
5,55,1.295
2,22,1.099
3,22,1.017
5,22,1.053
1,48,1.129
2,48,1.098
3,48,1.053
4,48,1.08
5,48,1.23
1,30,1.218
2,30,1.196
4,30,1.028
5,30,1.297
1,33,1.115
2,33,1.096
5,33,1.247
2,28,1.081
5,28,1.098
1,29,1.083
2,29,1.082
4,29,1.101
5,29,1.046
2,24,1.085
3,24,1.035
4,24,1.012
5,24,1.039
1,36,1.174
2,36,1.136
3,36,1.028
4,36,1.102
5,36,1.079
2,31,1.065
3,31,1.016
4,31,1.024
5,31,1.038
2,18,1.095
4,18,1.033
5,18,1.02
1,26,1.086
2,26,1.108
4,26,1.046
5,26,1.07
1,61,1.176
2,61,1.026
3,61,1.013
4,61,1.056
5,61,1.047
2,39,1.174
4,39,1.117
5,39,1.081
2,42,1.128
3,42,1.012
5,42,1.131
2,19,1.08
3,19,1.011
4,19,1.021
5,19,1.057
5,59,1.027
1,16,1.156
2,16,1.118
3,16,1.005
4,16,1.033
5,16,1.187
2,51,1.084
3,51,1.019
4,51,1.03
5,51,1.131
1,11,1.049
2,11,1.096
4,11,1.015
5,11,1.041
1,49,1.023
2,49,1.056
5,49,1.026
1,47,1.108
2,47,1.191
4,47,1.053
5,47,1.041
2,38,1.016
5,38,1.037
1,32,1.089
2,32,1.089
4,32,1.025
5,32,1.058
1,23,1.029
2,23,1.082
4,23,1.013
5,23,1.049
1,5,1.086
2,5,1.044
3,5,1.012
4,5,1.092
5,5,1.102
1,40,1.239
2,40,1.124
3,40,1.04
4,40,1.193
5,40,1.122
1,37,1.246
2,37,1.222
4,37,1.108
5,37,1.145
2,54,1.232
4,54,1.148
5,54,1.047
1,25,1.128
2,25,1.146
4,25,1.139
5,25,1.14
2,13,1.073
4,13,1.067
5,13,1.093
1,46,1.085
2,46,1.044
4,46,1.04
5,46,1.093
1,15,1.064
2,15,1.073
3,15,1.012
4,15,1.026
5,15,1.077
1,56,1.036
2,56,1.184
3,56,1.017
5,56,1.044
2,57,1.051
3,57,1.019
