layer,node,SIR
1,7,1.088
2,7,1.042
4,7,1.132
5,7,1.019
6,7,1.015
1,5,1.083
3,5,1.058
5,5,1.08
4,13,1.008
5,13,1.017
6,13,1.023
1,1,1.052
3,1,1.016
4,1,1.028
1,3,1.083
3,3,1.043
5,3,1.049
6,3,1.011
1,9,1.083
2,9,1.076
3,9,1.039
4,9,1.074
5,9,1.069
6,9,1.016
1,12,1.067
2,12,1.088
3,12,1.05
4,12,1.014
5,12,1.037
6,12,1.029
1,14,1.041
2,14,1.065
3,14,1.023
4,14,1.011
5,14,1.057
6,14,1.055
4,2,1.099
1,8,1.053
2,8,1.104
4,8,1.051
5,8,1.091
6,8,1.012
1,11,1.06
2,11,1.096
3,11,1.048
4,11,1.045
5,11,1.065
1,4,1.066
4,4,1.066
5,4,1.042
6,4,1.038
1,6,1.095
2,6,1.064
3,6,1.049
4,6,1.013
5,6,1.065
1,10,1.073
2,10,1.056
3,10,1.029
4,10,1.049
5,10,1.052
6,10,1.011
