layer_id,node_id,degree,k_shell,k_shell_itr,nip,sombor_index,ego_density,ego_degree,ego_k_shell,ego_degree_mean,kss,vote_power,clustering,SIR,layer_density,layer_degree_histogram,layer_edge_weight,layer_sombor_index,layer_nodes_weight,layer_k_shell_weight
1,7,5,4,1,24.95614035087719,37.57288465145091,13.575757575757574,11.090169943749475,29.513890057312253,45.75,10.0,2.6666666666666665,0.6,1.088,0.42424242424242425,4.6666667,28,6.9686691,12,5.1269021
2,7,3,3,1,14.975454545454548,18.446725000709208,5.428571428571429,-7.5,-11.87439913420744,29.1,6.235382907247959,1,0.6666666666666666,1.042,0.6785714285714286,4.75,19,7.1763951,8,4.44913
4,7,8,3,2,37.39238539238539,69.39320220358205,18.424242424242426,57.5,340.4976593871121,40.07575757575758,17.63542640433766,5.333333333333333,0.17857142857142858,1.132,0.2878787878787879,3.1666667,19,7.3569977,12,2.4495813
5,7,1,1,1,8.692307692307692,5.0990195135927845,4.800000000000001,-10.0,-43.774467517406265,16.0,2.0,1,0,1.019,0.3333333333333333,3.6666667,22,6.1164406,12,5.0629794
6,7,1,1,1,9.0,4.123105625617661,2.25,-1.5,1.414213562373095,8.0,2.0,1,0,1.015,0.19444444444444445,1.5555556,7,3.3314517,9,1.0213765
1,5,6,4,2,24.94980506822612,47.61241432712507,11.5,16.398979485566358,148.33884518904293,40.166666666666664,17.77777777777778,1.9166666666666665,0.8,1.083,0.42424242424242425,4.6666667,28,6.9686691,12,5.1269021
3,5,4,3,1,12.888888888888888,19.77995987511004,7.199999999999999,11.5,45.07501068391312,17.833333333333332,6.928203230275509,2.0,0.5,1.058,0.3611111111111111,2.8888889,13,4.5355098,9,2.4673348
5,5,5,3,2,28.884192730346573,32.21441313364306,10.0,18.23606797749979,126.59239281046383,36.69230769230769,15.98816130063579,2.5,0.3,1.08,0.3333333333333333,3.6666667,22,6.1164406,12,5.0629794
4,13,1,1,1,14.575757575757576,8.06225774829855,3.875,-12.5,-30.935505600487133,21.0,2.0,1,0,1.008,0.2878787878787879,3.1666667,19,7.3569977,12,2.4495813
5,13,1,1,1,11.0,6.082762530298219,4.833333333333333,-12.5,-63.80460968534972,19.0,2.0,1,0,1.017,0.3333333333333333,3.6666667,22,6.1164406,12,5.0629794
6,13,1,1,1,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1,0,1.023,0.19444444444444445,1.5555556,7,3.3314517,9,1.0213765
1,1,4,4,1,16.63157894736842,28.036431890216786,6.166666666666666,-4.0,-11.596491228070178,32.0,8.0,1,1.0,1.052,0.42424242424242425,4.6666667,28,6.9686691,12,5.1269021
3,1,1,1,1,6.333333333333333,4.123105625617661,3.75,-5.5,-6.588457268119896,11.0,2.0,1,0,1.016,0.3611111111111111,2.8888889,13,4.5355098,9,2.4673348
4,1,2,2,1,21.307692307692307,11.752245844280097,4.375,-10.0,-3.4064072435070187,26.0,5.656854249492381,1,0,1.028,0.2878787878787879,3.1666667,19,7.3569977,12,2.4495813
1,3,6,4,2,24.94980506822612,47.61241432712507,11.5,16.398979485566358,148.33884518904293,40.166666666666664,17.77777777777778,1.9166666666666665,0.8,1.083,0.42424242424242425,4.6666667,28,6.9686691,12,5.1269021
3,3,3,3,1,9.833333333333332,14.242640687119284,3.5999999999999996,4.598076211353316,12.236054101964623,16.0,5.196152422706632,1,1.0,1.043,0.3611111111111111,2.8888889,13,4.5355098,9,2.4673348
5,3,4,3,2,27.472527472527474,23.463102724358077,6.450000000000001,9.0,126.39872672306107,34.857142857142854,17.815379734994167,1.5,0.16666666666666666,1.049,0.3333333333333333,3.6666667,22,6.1164406,12,5.0629794
