layer,node,SIR
2,1722,1.206
3,1722,1.129
2,4163,2.073
3,4163,1.297
2,4937,1.011
3,6322,1.038
2,5093,2.092
3,5093,1.248
2,4782,1.925
3,4782,1.417
2,5080,1.019
3,5080,1.016
2,2335,1.085
3,2335,1.038
2,882,6.324
3,882,3.018
2,1837,2.087
3,1837,1.058
2,2716,1.023
3,2716,1.051
2,4748,2.886
3,4748,1.373
3,6055,1.071
2,1745,2.767
3,1745,2.169
3,5949,1.037
2,4878,3.145
3,4878,1.777
2,691,17.014
3,691,20.179
2,2965,1.104
1,328,1.015
2,328,1.028
3,328,1.029
2,3246,2.194
3,3246,1.015
2,1971,1.88
3,1971,1.236
1,20,1.018
2,20,3.767
3,20,3.693
1,468,1.018
2,468,1.378
3,468,1.014
2,1363,2.946
3,1363,1.908
3,5720,1.229
3,6033,1.33
2,3521,1.013
2,5506,2.304
2,4648,1.793
2,1386,1.67
3,1386,1.038
2,1246,4.711
3,1246,6.349
2,1399,2.283
3,1399,1.015
2,1568,9.625
3,1568,11.871
2,1440,2.302
3,1440,1.123
2,1780,1.266
3,1780,1.033
1,110,1.027
2,110,1.423
2,3722,2.899
3,3722,1.943
2,3469,3.764
3,3469,1.331
2,1810,2.968
3,1810,1.464
2,4312,1.255
2,2681,2.496
3,2681,1.055
2,3438,1.014
3,3438,1.023
2,4399,1.914
3,4399,1.299
2,997,7.254
3,997,8.137
2,3056,1.145
3,3056,1.175
2,4179,1.153
2,3103,2.547
3,3103,1.451
2,2684,2.728
3,2684,2.02
2,2656,2.042
3,2656,1.192
3,6151,1.02
2,4436,1.071
3,4436,1.015
2,5207,1.978
3,5207,1.389
2,1484,2.874
3,1484,1.664
2,1649,3.691
3,1649,2.372
2,4631,1.056
3,6345,1.038
2,1274,5.11
3,1274,3.151
2,2311,2.437
3,2311,2.026
2,4183,1.018
2,3464,2.34
3,3464,3.539
2,1007,3.742
3,1007,2.256
2,3195,1.709
3,3195,1.013
2,4840,1.653
3,4840,1.159
2,5336,1.034
3,5336,1.02
2,4739,1.756
3,4739,1.327
2,3495,2.209
3,3495,1.298
2,5271,3.805
3,5271,2.211
2,3577,2.091
3,3577,1.148
1,285,1.007
2,285,1.016
3,285,1.01
2,5148,1.024
3,5148,1.078
3,6056,1.02
2,5107,1.151
3,5107,1.043
2,3564,1.138
3,3564,1.082
2,3077,1.748
3,3077,1.466
3,6333,1.036
2,1154,4.82
3,1154,4.426
2,4450,1.25
3,4450,1.351
2,4429,1.021
3,4429,1.336
3,6223,1.036
2,4726,1.016
2,3032,2.046
3,6004,1.033
2,5487,1.05
1,448,1.02
2,448,2.004
3,448,1.259
2,2352,1.129
3,2352,1.267
2,3520,2.261
3,3520,1.144
2,764,3.126
3,764,2.717
2,2817,3.697
3,2817,1.183
2,2203,1.8
2,1376,1.223
3,1376,1.327
2,5382,1.108
3,5382,1.173
3,6127,1.176
2,5379,1.093
3,5379,1.225
2,4574,1.257
3,4574,1.096
2,2838,2.101
3,2838,1.321
2,3574,1.013
3,3574,1.09
2,988,3.751
3,988,4.26
2,1798,3.089
3,1798,1.858
2,1181,5.926
3,1181,3.012
2,3082,3.359
3,3082,2.115
2,2564,1.013
3,2564,1.012
2,2270,2.866
3,2270,1.29
2,2692,2.004
3,2692,1.021
2,3884,2.654
3,3884,1.122
2,1992,2.553
3,1992,1.078
1,204,1.013
2,204,4.167
3,204,1.749
3,5603,1.083
2,2707,2.09
3,2707,1.369
3,6264,1.016
1,234,1.012
2,234,2.343
2,3083,1.025
3,3083,1.108
2,1806,1.944
3,1806,1.073
2,1016,1.014
3,1016,1.065
2,3260,2.357
3,3260,1.053
2,2793,2.639
3,2793,1.96
3,5969,1.015
2,4145,2.534
3,4145,1.278
2,4925,3.037
3,4925,1.205
2,4683,1.143
3,4683,1.164
2,1352,1.894
2,1644,1.413
3,1644,1.683
2,1168,3.369
3,1168,3.848
2,1772,5.631
3,1772,4.154
2,4888,1.73
3,4888,1.174
1,451,1.018
2,451,5.764
3,451,8.41
3,6374,1.031
2,3586,1.654
3,3586,1.285
2,894,2.05
3,894,2.089
1,532,1.014
2,532,3.517
3,532,3.802
1,143,1.012
2,143,2.318
3,143,1.594
2,4458,1.855
3,4458,1.258
2,2282,3.556
3,2282,1.933
3,6064,1.049
2,4904,1.978
3,4904,1.524
2,3491,2.855
2,4505,1.036
3,4505,1.031
2,1183,5.504
3,1183,3.361
2,1987,2.687
3,1987,3.489
1,345,1.02
2,345,1.061
3,345,1.027
2,4962,1.013
2,5279,1.911
3,5279,1.011
2,2581,5.681
3,2581,4.176
2,5059,1.01
2,889,1.218
3,889,1.154
1,105,1.105
2,105,5.266
3,105,4.849
2,3945,3.166
2,3159,4.933
2,2803,2.309
3,2803,1.035
3,5712,1.017
3,5735,1.069
2,3158,2.211
3,3158,1.132
2,1510,2.587
3,1510,1.375
2,3600,2.327
3,3600,1.127
3,6365,1.01
2,3087,2.004
2,4250,1.214
3,4250,1.213
2,3333,1.885
3,3333,1.039
3,6042,1.023
2,3362,1.265
3,3362,2.08
1,107,1.026
2,107,5.707
3,107,5.053
1,115,1.04
2,115,3.347
3,115,1.103
2,2220,3.232
3,2220,1.863
2,2321,2.018
3,2321,1.078
2,4177,3.845
3,4177,2.298
2,1086,2.028
3,1086,1.658
1,75,1.072
2,75,2.223
3,75,2.257
2,3321,1.013
3,3321,1.014
2,4791,7.781
3,4791,12.942
2,4798,2.176
3,4798,1.093
2,4600,2.034
3,4600,1.811
2,3674,2.186
3,3674,1.012
2,5437,2.498
3,5437,1.037
2,4930,1.498
3,4930,1.179
2,1135,3.929
3,1135,3.185
3,6094,1.052
2,1462,8.304
2,1538,1.785
3,1538,1.779
2,3177,2.11
3,3177,1.299
2,921,3.474
3,921,1.577
2,2948,1.938
3,2948,1.137
1,356,1.014
2,356,1.038
3,356,1.121
2,1804,4.589
3,1804,1.748
3,5761,1.089
2,1535,2.336
3,1535,1.04
2,3119,2.145
3,3119,1.037
1,317,1.011
2,317,1.009
3,317,1.128
2,2958,2.035
3,2958,1.009
2,3299,1.638
3,3299,1.039
3,6211,1.022
2,1408,1.046
3,1408,1.076
2,963,1.339
3,963,1.048
2,2888,2.651
3,2888,1.134
2,5544,2.291
3,5544,1.04
2,4863,1.033
3,4863,1.019
3,5824,1.042
2,5062,1.059
3,5062,1.02
2,2918,1.472
3,5843,1.014
2,2182,3.037
3,2182,4.047
2,1364,1.367
3,1364,1.064
3,6124,1.068
2,1661,2.872
3,1661,1.404
2,4082,1.671
3,4082,1.41
2,5530,1.339
3,5530,1.131
2,2811,1.053
3,2811,1.024
2,5517,1.053
2,1632,1.193
3,1632,1.355
2,2578,3.712
3,2578,1.716
2,1679,1.251
3,1679,1.098
2,3153,2.327
3,3153,1.108
2,5101,1.963
3,5101,1.21
2,3519,1.013
3,3519,1.197
2,4427,2.458
3,4427,2.374
2,1660,1.989
3,1660,1.063
3,6167,1.724
2,3178,1.964
3,3178,1.244
2,2369,1.019
3,2369,1.037
2,883,2.029
3,883,1.23
3,5845,1.055
2,2997,1.33
3,2997,1.477
2,2412,3.838
3,2412,2.909
2,4080,1.014
3,4080,1.123
3,6169,1.036
2,3657,1.038
3,3657,1.597
2,4805,1.031
3,4805,1.324
2,2844,2.593
3,2844,1.422
2,2753,1.146
3,2753,1.13
3,5697,1.064
2,4590,1.934
2,2114,5.555
3,2114,11.343
2,3765,1.037
3,3765,1.021
2,670,3.301
3,670,1.421
2,3736,1.554
3,3736,2.867
2,4461,1.836
3,4461,2.772
2,1847,3.382
3,1847,2.035
2,1602,2.432
3,1602,2.81
2,1115,2.621
3,1115,2.597
2,2859,1.021
3,2859,1.028
