node_id,layer 1,layer 2,layer 3,Mean
2451,0,2.174,0,0.7246666666666667
1521,0,6.398,7.783,4.727
2237,0,2.163,0,0.721
570,1.011,2.798,2.137,1.982
4514,0,1.409,1.242,0.8836666666666666
2418,0,6.759,8.926,5.2283333333333335
12,1.014,2.09,1.028,1.3773333333333333
1831,0,1.447,1.424,0.957
5736,0,0,1.139,0.37966666666666665
130,1.018,1.031,1.072,1.0403333333333333
3467,0,2.028,1.213,1.0803333333333334
2261,0,1.078,0,0.35933333333333334
4973,0,2.332,1.079,1.1369999999999998
5747,0,0,1.209,0.403
5826,0,0,1.353,0.451
5589,0,1.013,1.043,0.6853333333333333
2244,0,3.571,6.865,3.478666666666667
2817,0,3.697,1.183,1.6266666666666667
873,0,3.026,1.532,1.5193333333333332
4822,0,2.741,0,0.9136666666666667
631,1.014,11.796,6.708,6.506
1201,0,3.056,1.355,1.4703333333333333
1724,0,7.362,4.269,3.8770000000000002
1,1.017,5.988,4.437,3.814
214,1.084,1.202,1.212,1.1660000000000001
4802,0,1.059,1.064,0.7076666666666668
6243,0,0,1.036,0.3453333333333333
3656,0,1.788,1.307,1.0316666666666665
4057,0,1.474,1.058,0.844
5735,0,0,1.069,0.35633333333333334
2570,0,3.43,1.94,1.79
4773,0,1.093,0,0.36433333333333334
651,1.011,1.746,2.446,1.734333333333333
2966,0,1.093,1.135,0.7426666666666666
1464,0,3.096,1.02,1.3719999999999999
4035,0,1.412,1.083,0.8316666666666667
4849,0,1.776,1.082,0.9526666666666667
752,0,8.489,5.823,4.770666666666667
5056,0,2.123,1.01,1.0443333333333333
1445,0,4.145,2.159,2.1013333333333333
2484,0,3.721,1.286,1.6689999999999998
5512,0,1.029,1.091,0.7066666666666667
1694,0,2.177,1.437,1.2046666666666666
1023,0,9.82,10.339,6.719666666666666
3362,0,1.265,2.08,1.115
3883,0,1.017,1.019,0.6786666666666665
718,0,1.129,1.512,0.8803333333333333
1749,0,1.076,1.119,0.7316666666666668
3923,0,2.427,1.193,1.2066666666666668
2273,0,2.71,1.886,1.532
50,1.41,1.325,1.067,1.2673333333333332
3068,0,3.729,2.826,2.185
907,0,2.238,1.079,1.1056666666666668
3967,0,2.04,1.477,1.1723333333333334
38,1.023,3.639,1.843,2.1683333333333334
4928,0,1.016,1.173,0.7296666666666667
1108,0,5.136,4.389,3.1750000000000003
3842,0,1.553,0,0.5176666666666666
3987,0,2.991,1.862,1.6176666666666666
4397,0,1.142,1.088,0.7433333333333333
3657,0,1.038,1.597,0.8783333333333333
4245,0,2.683,1.238,1.307
2147,0,1.129,1.435,0.8546666666666667
658,1.017,1.042,1.035,1.0313333333333334
1516,0,3.569,2.144,1.9043333333333334
1514,0,14.095,18.508,10.867666666666667
535,1.012,2.606,1.42,1.6793333333333333
4141,0,4.188,2.452,2.2133333333333334
4405,0,1.809,1.023,0.944
3932,0,2.785,2.861,1.8820000000000003
958,0,15.943,16.737,10.893333333333333
3992,0,1.684,0,0.5613333333333334
2135,0,3.231,2.053,1.7613333333333332
1597,0,1.842,1.054,0.9653333333333333
3057,0,2.207,1.376,1.1943333333333332
6067,0,0,1.394,0.4646666666666666
2686,0,2.104,1.153,1.0856666666666668
2389,0,1.076,1.804,0.96
850,0,3.445,1.876,1.7736666666666665
5216,0,1.07,0,0.3566666666666667
1734,0,2.974,2.044,1.672666666666667
4440,0,1.448,1.033,0.827
2476,0,5.184,2.509,2.5643333333333334
5454,0,2.606,1.248,1.2846666666666666
3947,0,2.57,1.016,1.1953333333333334
2704,0,1.633,1.273,0.9686666666666666
2793,0,2.639,1.96,1.5330000000000001
2776,0,2.814,1.247,1.3536666666666666
4180,0,1.917,1.019,0.9786666666666667
1375,0,1.187,1.673,0.9533333333333335
6003,0,0,1.126,0.3753333333333333
5036,0,1.03,1.054,0.6946666666666667
2165,0,2.121,3.119,1.7466666666666668
6009,0,0,1.029,0.34299999999999997
2129,0,5.057,4.1,3.0523333333333333
3586,0,1.654,1.285,0.9796666666666667
4181,0,1.568,1.839,1.1356666666666666
4040,0,1.014,1.166,0.7266666666666666
962,0,9.31,6.472,5.260666666666666
4087,0,3.005,1.349,1.4513333333333334
3959,0,4.172,3.027,2.3996666666666666
6088,0,0,1.022,0.3406666666666667
4841,0,1.024,2.15,1.058
5175,0,2.272,1.042,1.1046666666666667
4852,0,1.282,1.038,0.7733333333333334
3643,0,2.605,1.431,1.3453333333333333
4981,0,2.033,1.022,1.0183333333333333
5562,0,4.456,4.097,2.8510000000000004
2006,0,3.121,1.714,1.6116666666666666
5438,0,2.489,1.056,1.1816666666666666
4178,0,1.89,1.118,1.0026666666666666
4640,0,1.521,0,0.507
2719,0,2.261,1.125,1.1286666666666667
4718,0,2.165,1.069,1.078
3141,0,2.822,1.281,1.3676666666666666
3010,0,2.058,0,0.6859999999999999
2466,0,1.089,1.136,0.7416666666666666
5691,0,0,1.02,0.34
5913,0,0,1.355,0.45166666666666666
5882,0,0,1.446,0.482
6097,0,0,1.091,0.36366666666666664
4880,0,2.01,0,0.6699999999999999
6055,0,0,1.071,0.357
2606,0,1.221,1.892,1.0376666666666667
2196,0,3.682,2.672,2.118
4891,0,1.712,0,0.5706666666666667
3343,0,2.83,1.016,1.282
63,1.026,1.383,2.246,1.5516666666666665
867,0,2.542,1.538,1.36
5123,0,3.106,1.117,1.4076666666666666
1928,0,1.696,1.099,0.9316666666666666
4700,0,1.014,0,0.338
1824,0,2.698,2.427,1.7083333333333333
1627,0,1.28,1.572,0.9506666666666668
4142,0,2.024,0,0.6746666666666666
5710,0,0,1.038,0.34600000000000003
976,0,4.557,2.362,2.3063333333333333
3824,0,2.144,1.016,1.0533333333333335
2351,0,1.686,0,0.5619999999999999
4687,0,2.145,1.027,1.0573333333333332
1484,0,2.874,1.664,1.5126666666666668
5188,0,2.426,1.491,1.3056666666666668
4446,0,2.081,0,0.6936666666666667
426,1.017,2.146,1.228,1.4636666666666667
2455,0,6.331,6.953,4.428
5607,0,0,1.118,0.3726666666666667
5223,0,1.016,1.072,0.6960000000000001
5096,0,1.017,1.145,0.7206666666666667
6193,0,0,1.127,0.37566666666666665
1777,0,1.873,1.014,0.9623333333333334
675,0,4.3,1.04,1.78
528,1.014,1.121,0,0.7116666666666666
1814,0,2.507,1.208,1.2383333333333333
5351,0,2.485,1.36,1.2816666666666665
779,0,4.325,4.2,2.841666666666667
1161,0,2.0,1.257,1.0856666666666666
4287,0,1.066,1.287,0.7843333333333332
3441,0,4.434,0,1.478
2804,0,2.19,1.523,1.2376666666666667
913,0,2.154,1.753,1.3023333333333333
1905,0,2.744,2.09,1.6113333333333333
4462,0,3.525,3.17,2.231666666666667
736,0,1.241,1.31,0.8503333333333334
4551,0,1.502,0,0.5006666666666667
2875,0,1.015,1.028,0.681
5342,0,1.035,1.073,0.7026666666666666
4572,0,2.265,1.133,1.1326666666666667
2810,0,2.987,1.024,1.337
1744,0,1.111,1.109,0.7399999999999999
5508,0,2.294,1.091,1.1283333333333332
4072,0,1.031,1.016,0.6823333333333332
772,0,5.552,5.852,3.8013333333333335
404,1.026,1.643,1.341,1.3366666666666667
5744,0,0,1.166,0.38866666666666666
2241,0,3.247,2.471,1.906
5963,0,0,1.313,0.43766666666666665
2557,0,3.369,2.22,1.8630000000000002
6146,0,0,1.046,0.3486666666666667
4033,0,2.802,2.745,1.8490000000000002
143,1.012,2.318,1.594,1.6413333333333335
3647,0,3.325,1.887,1.7373333333333332
1834,0,1.807,2.752,1.5196666666666665
2951,0,1.012,1.021,0.6776666666666666
2637,0,2.382,1.245,1.209
3864,0,2.102,5.238,2.4466666666666668
3619,0,2.812,1.703,1.505
3535,0,3.398,4.821,2.7396666666666665
6246,0,0,1.025,0.3416666666666666
2140,0,2.267,2.249,1.5053333333333334
3593,0,1.943,1.409,1.1173333333333335
1492,0,2.654,1.208,1.2873333333333334
4741,0,1.037,1.016,0.6843333333333333
5360,0,2.107,0,0.7023333333333334
1559,0,1.015,1.016,0.6769999999999999
2855,0,1.151,1.157,0.7693333333333333
951,0,1.027,1.885,0.9706666666666667
4255,0,2.568,1.132,1.2333333333333334
322,1.001,3.104,1.162,1.7556666666666667
1552,0,1.009,0,0.3363333333333333
4311,0,1.604,0,0.5346666666666667
4466,0,1.04,0,0.3466666666666667
5959,0,0,1.023,0.34099999999999997
1741,0,1.101,0,0.367
3765,0,1.037,1.021,0.6859999999999999
4721,0,2.426,1.107,1.1776666666666669
2085,0,1.868,1.017,0.9616666666666666
4600,0,2.034,1.811,1.2816666666666665
3108,0,1.807,1.082,0.9630000000000001
2155,0,3.033,1.562,1.5316666666666665
4970,0,2.484,0,0.828
196,1.02,1.032,1.018,1.0233333333333334
1509,0,4.0,3.363,2.454333333333333
4346,0,2.549,0,0.8496666666666667
1135,0,3.929,3.185,2.3713333333333333
5604,0,0,1.117,0.37233333333333335
4005,0,2.468,4.555,2.3409999999999997
5103,0,1.016,1.152,0.7226666666666667
821,0,3.537,5.476,3.0043333333333333
4455,0,1.67,1.081,0.9169999999999999
5139,0,2.129,0,0.7096666666666667
2188,0,1.163,1.02,0.7276666666666666
3250,0,1.124,1.127,0.7503333333333334
824,0,1.263,1.194,0.819
4143,0,2.631,1.061,1.2306666666666666
3217,0,1.927,0,0.6423333333333333
6398,0,0,1.063,0.35433333333333333
4812,0,1.739,1.016,0.9183333333333333
2391,0,1.341,1.203,0.848
5099,0,3.975,1.69,1.8883333333333334
2691,0,2.588,1.247,1.2783333333333333
5263,0,1.865,1.044,0.9696666666666666
1274,0,5.11,3.151,2.7536666666666663
1361,0,1.225,1.475,0.9
2143,0,1.823,1.952,1.2583333333333333
798,0,6.41,8.441,4.950333333333334
5649,0,0,1.028,0.3426666666666667
5235,0,2.635,1.151,1.2619999999999998
6369,0,0,1.059,0.353
1182,0,5.992,1.776,2.5893333333333333
2465,0,1.041,1.019,0.6866666666666665
3925,0,1.976,0,0.6586666666666666
2253,0,1.7,1.03,0.91
4711,0,2.119,1.455,1.1913333333333334
5725,0,0,1.045,0.34833333333333333
2029,0,1.158,1.091,0.7496666666666666
5338,0,1.503,1.023,0.842
550,1.025,1.88,0,0.9683333333333333
5612,0,0,1.038,0.34600000000000003
4914,0,2.877,0,0.959
3822,0,1.046,1.025,0.6903333333333332
1788,0,3.293,2.214,1.8356666666666666
5982,0,0,1.03,0.3433333333333333
5067,0,3.252,1.14,1.4639999999999997
5234,0,1.019,0,0.3396666666666666
4342,0,1.892,1.192,1.0279999999999998
3138,0,2.058,1.078,1.0453333333333334
2463,0,2.986,0,0.9953333333333334
4013,0,1.871,2.813,1.5613333333333335
5853,0,0,1.519,0.5063333333333333
3895,0,1.012,1.307,0.773
6337,0,0,1.065,0.355
4457,0,3.055,1.972,1.6756666666666666
1349,0,3.218,0,1.0726666666666667
237,1.019,5.512,4.596,3.7089999999999996
4933,0,1.693,1.214,0.969
4193,0,3.786,2.37,2.052
1921,0,6.426,8.216,4.8806666666666665
5790,0,0,1.068,0.35600000000000004
2881,0,2.595,1.062,1.219
2826,0,2.342,2.762,1.7013333333333334
5323,0,3.309,1.355,1.5546666666666666
2180,0,3.426,2.055,1.827
1463,0,3.943,2.526,2.156333333333333
333,1.039,1.104,1.09,1.0776666666666666
5623,0,0,1.418,0.4726666666666666
463,1.001,0,0,0.3336666666666666
457,1.044,12.972,9.992,8.002666666666668
5863,0,0,1.061,0.35366666666666663
794,0,1.947,1.704,1.2169999999999999
1124,0,2.065,1.669,1.2446666666666666
2785,0,1.076,1.089,0.7216666666666667
1519,0,3.108,0,1.036
1978,0,1.097,1.06,0.719
352,1.001,0,1.012,0.6709999999999999
5946,0,0,1.08,0.36000000000000004
5911,0,0,1.011,0.33699999999999997
5286,0,1.016,1.014,0.6766666666666667
3164,0,6.515,5.903,4.139333333333333
265,1.014,1.537,1.501,1.3506666666666665
4213,0,3.816,2.092,1.9693333333333332
4683,0,1.143,1.164,0.769
3580,0,1.657,0,0.5523333333333333
987,0,4.116,3.143,2.4196666666666666
6404,0,0,1.137,0.379
3784,0,3.128,1.125,1.4176666666666666
3527,0,3.213,4.911,2.7079999999999997
1343,0,1.226,1.108,0.778
2996,0,2.601,0,0.867
4577,0,1.105,1.128,0.7443333333333332
4537,0,1.036,0,0.3453333333333333
262,1.023,2.048,1.125,1.3986666666666665
4022,0,1.09,0,0.36333333333333334
1692,0,3.781,1.204,1.6616666666666668
520,1.012,1.206,1.152,1.1233333333333333
69,1.015,1.958,1.099,1.3573333333333333
1271,0,2.754,2.647,1.8003333333333333
5708,0,0,1.156,0.3853333333333333
960,0,7.066,4.483,3.8496666666666663
2738,0,1.031,1.02,0.6836666666666668
799,0,1.562,0,0.5206666666666667
2498,0,1.054,0,0.35133333333333333
4083,0,4.838,9.765,4.8676666666666675
4799,0,3.728,2.543,2.0903333333333336
4527,0,3.364,1.432,1.5986666666666665
2892,0,1.023,1.051,0.6913333333333332
4220,0,1.6,1.94,1.18
5307,0,1.034,1.047,0.6936666666666667
6037,0,0,1.098,0.36600000000000005
6113,0,0,1.101,0.367
3087,0,2.004,0,0.668
5257,0,1.059,1.493,0.8506666666666667
5534,0,2.203,1.178,1.127
6066,0,0,1.02,0.34
3689,0,2.122,0,0.7073333333333333
5136,0,1.024,1.066,0.6966666666666667
4945,0,2.467,1.402,1.2896666666666665
5791,0,0,2.203,0.7343333333333333
2072,0,1.859,1.767,1.2086666666666666
1232,0,3.219,1.466,1.5616666666666665
2860,0,1.016,1.017,0.6776666666666666
2313,0,3.092,1.465,1.5190000000000001
1175,0,4.031,3.056,2.3623333333333334
3929,0,1.01,1.012,0.674
3307,0,2.329,0,0.7763333333333334
2382,0,4.689,2.47,2.3863333333333334
3629,0,1.927,1.273,1.0666666666666667
2947,0,2.074,1.199,1.091
4246,0,3.992,4.15,2.714
6290,0,0,1.37,0.4566666666666667
1671,0,5.294,16.176,7.156666666666666
1707,0,1.031,1.02,0.6836666666666668
2388,0,1.556,1.251,0.9356666666666666
3375,0,1.064,2.624,1.2293333333333334
5413,0,1.9,1.405,1.1016666666666666
2839,0,1.051,1.075,0.7086666666666667
2066,0,3.299,1.989,1.7626666666666668
2514,0,1.016,1.208,0.7413333333333334
5742,0,0,1.378,0.4593333333333333
4744,0,1.921,1.233,1.0513333333333332
859,0,1.242,1.153,0.7983333333333333
1184,0,5.294,5.853,3.715666666666666
4603,0,3.254,1.16,1.4713333333333332
847,0,2.869,1.273,1.3806666666666667
6198,0,0,1.016,0.33866666666666667
244,1.021,6.691,7.301,5.004333333333333
1085,0,3.961,2.346,2.1023333333333336
4082,0,1.671,1.41,1.027
4754,0,1.23,1.077,0.769
3880,0,2.687,1.338,1.3416666666666668
4515,0,1.032,0,0.34400000000000003
4274,0,1.81,1.281,1.0303333333333333
6122,0,0,1.143,0.381
5304,0,3.409,1.304,1.571
5335,0,2.283,1.083,1.1219999999999999
1829,0,1.645,1.241,0.9620000000000001
5560,0,2.703,1.023,1.242
5769,0,0,1.081,0.36033333333333334
3764,0,4.359,4.538,2.965666666666667
3846,0,1.575,1.045,0.8733333333333334
2053,0,1.416,1.308,0.908
414,1.01,3.038,1.071,1.7063333333333333
2623,0,1.033,1.055,0.6960000000000001
5776,0,0,1.042,0.3473333333333333
3127,0,1.493,2.902,1.465
2171,0,2.413,1.344,1.2523333333333333
3850,0,1.036,1.132,0.7226666666666667
4116,0,1.622,1.558,1.06
1029,0,1.253,1.132,0.7949999999999999
5683,0,0,3.407,1.1356666666666666
569,1.058,1.248,1.128,1.1446666666666667
4034,0,1.034,1.246,0.7600000000000001
470,1.014,2.175,1.075,1.4213333333333333
5677,0,0,1.033,0.3443333333333333
5746,0,0,1.153,0.38433333333333336
4605,0,1.044,0,0.34800000000000003
1550,0,3.631,1.657,1.7626666666666668
6251,0,0,1.231,0.4103333333333334
4825,0,1.109,1.028,0.7123333333333334
1442,0,1.112,1.128,0.7466666666666667
3280,0,3.212,3.036,2.082666666666667
6060,0,0,1.073,0.35766666666666663
6130,0,0,1.034,0.3446666666666667
5603,0,0,1.083,0.361
101,1.033,36.734,32.967,23.578000000000003
5039,0,1.102,1.015,0.7056666666666667
4579,0,2.155,1.038,1.0643333333333331
1257,0,3.447,1.116,1.5210000000000001
3263,0,2.604,1.486,1.3633333333333333
627,1.021,4.833,4.039,3.2976666666666667
4159,0,1.141,0,0.38033333333333336
1609,0,7.541,9.369,5.636666666666667
2235,0,1.031,1.056,0.6956666666666665
1195,0,4.565,4.541,3.035333333333334
5983,0,0,1.039,0.3463333333333333
2415,0,2.515,4.36,2.2916666666666665
5325,0,1.019,0,0.3396666666666666
158,1.202,1.241,1.266,1.2363333333333333
5973,0,0,1.03,0.3433333333333333
4878,0,3.145,1.777,1.6406666666666665
3487,0,1.016,1.031,0.6823333333333332
2707,0,2.09,1.369,1.1529999999999998
311,1.016,4.034,2.77,2.606666666666667
5329,0,1.022,1.033,0.6849999999999999
4868,0,1.019,1.017,0.6786666666666665
2913,0,1.413,1.141,0.8513333333333334
6189,0,0,1.064,0.3546666666666667
3669,0,5.054,4.799,3.284333333333334
6194,0,0,1.02,0.34
3334,0,3.985,2.559,2.1813333333333333
116,1.01,4.634,4.199,3.281
1633,0,2.182,1.549,1.2436666666666667
6077,0,0,1.028,0.3426666666666667
5080,0,1.019,1.016,0.6783333333333333
4482,0,1.46,1.89,1.1166666666666665
2121,0,1.15,1.514,0.8879999999999999
5365,0,2.653,1.347,1.3333333333333333
1523,0,3.901,1.196,1.6989999999999998
6174,0,0,1.015,0.3383333333333333
807,0,1.434,1.08,0.8380000000000001
3727,0,1.816,1.242,1.0193333333333332
4671,0,2.699,1.058,1.2523333333333333
1433,0,2.807,1.369,1.3920000000000001
5166,0,2.369,1.647,1.3386666666666667
3027,0,1.017,1.232,0.7496666666666666
2207,0,1.437,1.459,0.9653333333333333
1823,0,1.916,1.915,1.277
5724,0,0,1.103,0.36766666666666664
4867,0,1.875,1.014,0.9630000000000001
2190,0,1.046,1.037,0.6943333333333334
667,0,4.255,1.985,2.08
780,0,5.205,10.438,5.214333333333333
4735,0,7.129,11.51,6.213
2927,0,2.597,1.261,1.2859999999999998
1953,0,1.544,1.01,0.8513333333333334
4305,0,1.121,0,0.37366666666666665
2125,0,6.465,2.206,2.890333333333333
5797,0,0,1.386,0.46199999999999997
1467,0,1.917,0,0.639
564,1.001,0,1.037,0.6793333333333332
4288,0,2.144,1.414,1.186
4853,0,1.432,1.525,0.9856666666666666
1696,0,1.666,1.378,1.0146666666666666
2497,0,1.228,1.113,0.7803333333333334
932,0,8.326,7.843,5.389666666666667
3911,0,1.478,1.894,1.1239999999999999
4563,0,1.841,1.214,1.0183333333333333
3016,0,1.011,0,0.33699999999999997
887,0,4.099,0,1.3663333333333334
5569,0,1.025,1.028,0.6843333333333333
3519,0,1.013,1.197,0.7366666666666667
6051,0,0,1.027,0.3423333333333333
3038,0,2.028,0,0.676
3811,0,1.813,0,0.6043333333333333
2431,0,1.824,1.014,0.9460000000000001
1700,0,2.076,1.151,1.0756666666666668
5374,0,1.015,0,0.3383333333333333
3182,0,1.785,1.058,0.9476666666666667
1373,0,3.267,1.021,1.4293333333333333
5871,0,0,1.094,0.3646666666666667
2536,0,2.253,1.148,1.1336666666666666
2871,0,2.631,1.335,1.3219999999999998
6119,0,0,1.048,0.34933333333333333
5082,0,1.015,1.019,0.6779999999999999
5086,0,1.022,0,0.3406666666666667
4567,0,1.11,0,0.37000000000000005
2607,0,1.105,1.26,0.7883333333333334
3291,0,2.655,2.574,1.7429999999999997
4468,0,2.591,1.019,1.2033333333333334
3751,0,1.077,1.025,0.7006666666666667
1329,0,1.801,1.378,1.0596666666666665
2201,0,3.703,1.616,1.773
5717,0,0,1.025,0.3416666666666666
390,1.023,3.12,1.118,1.7536666666666667
408,1.035,3.169,3.265,2.4896666666666665
3366,0,1.037,0,0.3456666666666666
6093,0,0,1.017,0.33899999999999997
3402,0,3.198,4.067,2.421666666666667
6129,0,0,1.045,0.34833333333333333
4325,0,2.662,1.685,1.4489999999999998
5531,0,1.968,2.473,1.4803333333333333
5299,0,1.946,1.179,1.0416666666666667
1378,0,1.171,1.072,0.7476666666666668
5504,0,1.012,1.086,0.6993333333333333
7,1.019,1.156,0,0.725
3988,0,1.047,0,0.349
4354,0,2.303,1.019,1.1073333333333333
1753,0,2.75,1.564,1.438
4355,0,2.613,1.181,1.2646666666666666
3865,0,2.137,1.448,1.195
2256,0,2.842,1.62,1.4873333333333332
1944,0,1.048,1.141,0.7296666666666667
505,1.031,1.206,1.14,1.1256666666666666
1158,0,1.497,1.081,0.8593333333333334
3774,0,3.043,1.246,1.4296666666666666
4302,0,2.222,1.054,1.0919999999999999
4496,0,1.018,1.065,0.6943333333333334
5004,0,4.028,2.277,2.1016666666666666
828,0,7.827,0,2.609
2069,0,2.443,1.346,1.2630000000000001
2783,0,1.999,1.047,1.0153333333333334
464,1.017,6.504,4.41,3.977
5187,0,1.256,1.029,0.7616666666666667
2138,0,2.828,1.073,1.3003333333333333
3139,0,2.417,3.412,1.9429999999999998
1292,0,1.437,0,0.47900000000000004
5598,0,0,1.129,0.37633333333333335
4645,0,1.057,1.136,0.7309999999999999
4203,0,3.076,4.329,2.4683333333333333
3047,0,1.949,1.152,1.0336666666666667
2990,0,2.624,1.663,1.429
3740,0,1.133,1.024,0.719
2082,0,2.551,1.218,1.2563333333333333
430,1.019,2.009,0,1.0093333333333332
1690,0,4.415,3.26,2.558333333333333
3528,0,2.374,0,0.7913333333333333
6333,0,0,1.036,0.3453333333333333
757,0,1.206,1.039,0.7483333333333334
3063,0,2.469,2.306,1.5916666666666668
222,1.015,1.903,1.173,1.3636666666666668
3107,0,3.596,1.33,1.6420000000000001
2940,0,1.157,1.583,0.9133333333333334
1392,0,2.063,0,0.6876666666666668
3231,0,1.938,2.271,1.4029999999999998
537,1.016,2.655,1.45,1.7069999999999999
